Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
50A,"50A accompagne les grands comptes, les PME et les fédérations dans la conception et la mise en oeuvre de leur stratégie de communication digitale.",#communication,#digital,,48.871559,2.35025,32 rue de l'Echéquier,75010,Paris,,www.50a.fr,agence50A,,,http://www.linkedin.com/company/1108309,,Prestataire
5e Rue,"5e Rue est un agenceur digital qui conseille et accompagne les entreprises et les institutions sur les enjeux d'image, de business et d'organisation soulevés par le web social.",#websocial,#technologie,#innovation,48.85672,2.37418,36 rue Sedaine,75011,Paris,2010,www.5erue.com,5erue,www.facebook.com/5eRue,https://plus.google.com/106826478280245133986,,,Prestataire
99Metrics,"99Metrics aide les startups web à augmenter leurs revenus sur Internet en particulier sur l'acquisition d'audience, la conversion en client puis la rétention.",#seo,#referencement,#marketing,48.87135,2.33764,13 rue de Marivaux,75009,Paris,2012,www.99metrics.fr,99metrics,,,http://www.linkedin.com/company/3001973,,Prestataire
Abstrakt,Abstrakt est une agence digitale qui assure la promotion de marques et produits numériques en ligne.,#agence,#marketing,#digital,48.880669,2.36465,213 rue du Faubourg Saint Martin,75010,Paris,1998,www.abstrakt.fr,abstraktnews,https://www.facebook.com/pages/abstrakt/102356576469615,,http://www.linkedin.com/company/688039,,Prestataire
Actialuna,"Actialuna est une agence de design de livre numérique qui orchestre avec les éditeurs le travail des ingénieurs et des auteurs, en créant des interfaces innovantes et ergonomiques pour le livre.",#design,#edition,#ebook,48.854858,2.40352,80 rue des Haies,75020,Paris,2009,www.actialuna.com,Actialuna,,,http://www.linkedin.com/company/1574984,,Prestataire
Adminext,"Adminext est un cabinet de conseil spécialisé dans la réingénierie des processus publics, le pilotage stratégique des systèmes d’information et la mise en oeuvre de solutions innovantes de dématérialisation.",#conseil,#reingenierie,#dematerialisation,48.83054,2.3292,48 avenue du Général Leclerc,75014,Paris,2007,www.adminext.com,,,,http://www.linkedin.com/company/3036042,,Prestataire
af83,"af83 est une agence spécialisée en conception d’expérience, technologie et communication, qui accompagne ses clients dans la transformation de leur activité sur le digital pour offrir des services innovants à leurs utilisateurs.",#agence,#digital,#innovation,48.869228,2.3478,15 rue Poissonnière,75002,Paris,2006,www.af83.com,af83,,,http://www.linkedin.com/company/af83,,Prestataire
Agence Française Informatique,L'AFI est une société de conseil spécialiste de l'informatique et des métiers des collectivités territoriales.,#conseil,#informatique,#collectivites,48.9487,3.08767,4 rue de la Couture,77260,Sammeron,1981,www.afi-sa.fr,,,,,,Prestataire
Agence Propal,"L'Agence Propal est une agence digitale spécialiste de Drupal qui offre développement, conseil et expertise.",#developpement,#drupal,,48.889542,2.34958,57 boulevard Barbès,75018,Paris,,www.propal.net,,,,,,Prestataire
Antenna,Antenna créée des parcours de visite audio et multimedia pour aider les musées et les sites culturels à enrichir l'expérience de leurs visiteurs.,#tourisme,#culture,,48.85968,2.34602,3 rue des Déchargeurs,75001,Paris,1984,www.antennaaudio.com,AntennaIntl,https://www.facebook.com/AntennaInternational,,http://www.linkedin.com/company/antenna-international,,Prestataire
AntVoice, AntVoice édite une solution innovante et puissante de recommandation sociale permettant aux sites marchands et medias de proposer les produits et les contenus pertinents pour chacun de leurs utilisateurs.,#recommandation,#marketing,#ecommerce,48.86993,2.34624,28 rue du Sentier,75009,Paris,2009,www.antvoice.com,antvoice,https://www.facebook.com/AntvoiceGroup,,http://www.linkedin.com/company/antvoice,,Prestataire
