Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
AntiCafé,"L'AntiCafé est un espace de coworking qui propose de payer au temps et de consommer à volonté : café, thé, snacks / wifi à très haut débit et matériels mutualisés.",#coworking,#cafe,,48.86227,2.3511,79 rue Quincampoix,75003,Paris,2013,www.anticafe.fr,,https://www.facebook.com/anticafe.eu,,,,Tiers-lieu
Artlab,"Le Artlab est un lieu de recherche, de développement et de prototypage rassemblant des artistes et des techniciens dans une démarche créative et collaborative.",#art,#fablab,,48.87685,2.36669,13 rue des Ecluse Saint-Martin,75010,Paris,,www.digitalarti.com/blog/artlab,digitalarti_fr,,,,,Tiers-lieu
BGE PaRIF,Les espaces de coworking BGE PaRIF accueillent tout type d’entrepreneur qui souhaite travailler au sein d’une communauté d’entrepreneurs.,#coworking,,,48.868351,2.36606,18 rue du Faubourg du Temple,75011,Paris,2012,www.bgparif.com,,,,,,Tiers-lieu
Café Craft,"Situé à deux pas du canal Saint-Martin, le café Craft est un lieu conçu pour les travailleurs nomades, qui carburent au café.",#cafe,#coworking,,48.873131,2.36307,24 rue des Vinaigriers,75010,Paris,2012,www.cafe-craft.com,Cafe_Craft,https://www.facebook.com/pages/Café-Craft/354177147964286,,,,Tiers-lieu
Citizen Box,"Citizen Box est un espace de coworking propulsé par Paris Mix, grappe d'entreprises Musique et Innovation, ouvert aux travailleurs indépendants soucieux de développer leurs projets et parcours professionnels.",#coworking,#musique,,48.897072,2.35271,146 rue des Poissonniers,75018,Paris,2013,www.citizenbox.fr,,,,,,Tiers-lieu
Community Space,Community Space est dédié aux entrepreneurs de l'économie numérique et regroupe des personnes ayant choisi de mutualiser un lieu de travail.,#coworking,#cooperation,,48.86031,2.36797,70 rue Amelot,75011,Paris,,wiki.coworking.com/w/page/23035552/CommunitySpace,Community_Space,,,http://www.linkedin.com/groups/Community-Space-2757910,,Tiers-lieu
Digital Non Sense,"Digital Non Sense est un hacklab libre orienté code, hack, reverse engineering, crypto et open source.",#hackerspace,#opensource,,48.889271,2.30514,123 rue de Tocqueville,75017,Paris,,www.digitalnonsense.org,,,,,,Tiers-lieu
Dojo Buc,"Dojo Buc fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",#coworking,#bureau,,48.763908,2.12404,584 rue Fourny,78530,Buc,2013,www.dojocrea.fr/dojo-buc/,Dojocrea,,,,,Tiers-lieu
Dojo République,"Dojo République fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",#coworking,#bureau,,48.866661,2.36337,24 rue Béranger,75003,Paris,2012,www.dojocrea.fr/dojo-republique/,Dojocrea,,,,,Tiers-lieu
Dojo Saint Martin,"Dojo Saint Martin fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",#coworking,#bureau,,48.868729,2.35726,41 boulevard Saint Martin,75003,Paris,2012,www.dojocrea.fr/dojo-st-martin/,Dojocrea,,,,,Tiers-lieu
Dojo Saint Maur,"Dojo Saint Maur fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",#coworking,#bureau,,48.86422,2.38001,77 avenue de la République,75011,Paris,2012,www.dojocrea.fr/dojo-st-maur/,Dojocrea,,,,,Tiers-lieu
Dojo Voltaire,"Dojo Voltaire fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",#coworking,#bureau,,48.857449,2.38543,4 rue de la Vacquerie,75011,Paris,2012,www.dojocrea.fr/dojo-voltaire/,Dojocrea,,,,,Tiers-lieu
Electrolab,L'Electrolab est un hackerspace dédié aux projets ayant une forte connotation électronique et/ou mécanique.,#hackerspace,#electronique,#mecanique,48.894805,2.195053,75 boulevard du Couchant,92000,Nanterre,,www.electrolab.fr,,,,,,Tiers-lieu
Fabelier,"Fabelier est un Lab pour créer des prototypes avec des outils simples, apprendre et faire des choses autour du web, de l'électronique, de l'informatique et de la biologie.",#fablab,#diy,,48.837398,2.33872,24 rue du Faubourg Saint Jacques,75014,Paris,,fabelier.org,fabelier,,,,,Tiers-lieu
Faclab,"Le FacLab met à disposition les machines, l’infrastructure, et le soutien nécessaire à la réalisation de projets : apprendre, créer et partager en mode Do It Yourself.",#fablab,#diy,,48.933815,2.302657,1 rue Marcel Paul,92230,Gennevilliers,2011,www.faclab.org,FacLabUcp,https://www.facebook.com/faclab,,,,Tiers-lieu
Greenspace Paris,Greenspace Paris est un espace pour les entrepreneurs souhaitant développer leur activité dans un esprit de coworking.,#coworking,,,48.858379,2.37261,28 rue du Chemin Vert,75011,Paris,2010,www.greenspace-paris.com,GreenspaceParis,https://www.facebook.com/Greenspace.Paris,,,,Tiers-lieu
HackEns,hackEns est un club du COF de l'École Normale Supérieure dont le but est de rassembler des gens motivés pour travailler sur des projets de type hackerspace ou fablab.,#hackerspace,#fablab,,48.841837,2.344034,45 rue d'Ulm,75005,Paris,,hackens.org,,,,,,Tiers-lieu
ICI Montreuil,"ICI Montreuil est un espace de coworking, collaboratif et solidaire, pour les entrepreneurs de la création.",#coworking,#creation,,48.859081,2.42587,135 boulevard Chanzy,93100,Montreuil,2012,www.madeinmontreuil.com,ICIMontreuil,https://www.facebook.com/ICIMontreuil,,,,Tiers-lieu
