Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
1913,La société 1913 est spécialisée dans les besoins télécom et communications d'entreprise.,#telecoms,,,48.831558,2.31361,141 rue Raymond Losserand,75014,Paris,2005,www.1913.fr,,,,http://www.linkedin.com/company/530807,,Entreprise
1000Andone,"1000Andone développe Yesfuture, une application conversationnelle pour organiser des communautés, architecturer les échanges et faciliter les débats en ligne.",#conversation,#debat,,48.893959,2.35278,110 rue des Poissonniers,75018,Paris,2010,www.yesfuture.net,yesfuture,,,http://www.linkedin.com/company/1560836,,Entreprise
1001 Menus,1001 Menus propose une plate-forme web et mobile pour centraliser la communication digitale des restaurants.,#restaurants,,,48.86813,2.34663,23 rue de Clery,75002,Paris,2010,www.1001menus.com,1001menus,,,http://www.linkedin.com/company/1161449,,Entreprise
1X1connect,"1x1 connect développe différents outils de marketing d’interaction web pour des sites média, e-commerce ou des marques. ",#interaction,#marketing,,48.850102,2.35272,5 rue Cochin,75005,Paris,2010,www.1x1connect.com,1x1connect,https://www.facebook.com/1x1connect,,http://www.linkedin.com/company/2909903,,Entreprise
292 Contents,292 Contents est un producteurs de livres pour le troisième millénaire.,#edition,#ebook,#transmedia,48.84922,2.35151,22 rue de Pontoise,75005,Paris,2010,www.civilized.fr,292Contents,,https://plus.google.com/102260489490743437407,http://www.linkedin.com/company/1467931,,Entreprise
360Learning,"360Learning est une solution web de e-learning pour créer rapidement des formations, les diffuser et suivre leur impact.",#elearning,,,48.8396,2.38872,203 rue de Charenton,75012,Paris,2009,www.360learning.com,360learning,https://www.facebook.com/pages/360Learning-Le-Plaisir-de-Transmettre/148990175168498,,http://www.linkedin.com/company/360learning,,Entreprise
4n Media Group,4n Media Group édite une solution mobile d’apprentissage des langues étrangères par l’actualité.,#elearning,#mobile,,48.854858,2.40352,80 rue des Haies,75020,Paris,2007,www.my4ntv.com,4nmedia,,,http://www.linkedin.com/company/1919286,,Entreprise
A World For Us,A World For Us est une équipe d'experts en logiciel et en applications web temps réel qui réalise des solutions interactives et sociales.,#web3d,,,48.829189,2.35124,17 rue des 5 Diamants,75013,Paris,2009,www.aworldforus.com,aworldforus,,,http://www.linkedin.com/company/246655,,Entreprise
A2iA,A2iA propose des logiciels toujours capables de répondre à toutes les problématiques de dématérialisation de documents.,#ged,#dematerialisation,#documents,48.87655,2.31591,38 rue de la Bienfaisance,75008,Paris,,www.a2ia.com,A2iA,,,http://www.linkedin.com/company/35653,,Entreprise
Achat Centrale,Achat Centrale permet aux TPE et PME de faire des économies sur leurs achats en bénéficiant de conditions privilégiées sur leurs achats non stratégiques.,#achat,#marketplace,,48.88834,2.26215,3 boulevard de la Saussaye,92200,Neuilly-sur-Seine ,2011,www.achatcentrale.fr,AchatCentrale,https://www.facebook.com/achatcentrale.fr,,http://www.linkedin.com/company/achat-centrale,,Entreprise
ActivNetworks,"ActivNetworks est le créateur des solutions BoostEdge, des équipements réseau conçus pour accélérer les temps de réponse Web en réduisant et en optimisant les flux de données.",#reseau,#optimisation,,48.689117,2.204451,1 rue de Terre Neuve,91940,Les Ulis,2004,www.activnetworks.com,,,,http://www.linkedin.com/company/57663,,Entreprise
